"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass"
"Allen brain Tophat counts","Tophat count matrix for the Allen brain single-cell RNA-seq dataset","scRNAseq/legacy-allen/1.10.0/tophat_counts.rds","3.10","mm10","RData","http://bioconductor.org/packages/3.9/data/experiment/src/contrib/scRNAseq_1.10.0.tar.gz","data/allen.rda","Mus musculus","10090",NA,"Michael Cole","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","matrix","Rds"
"Allen brain Cufflinks FPKMs","Cufflinks FPKM matrix for the Allen brain single-cell RNA-seq dataset","scRNAseq/legacy-allen/1.10.0/cufflinks_fpkm.rds","3.10","mm10","RData","http://bioconductor.org/packages/3.9/data/experiment/src/contrib/scRNAseq_1.10.0.tar.gz","data/allen.rda","Mus musculus","10090",NA,"Michael Cole","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","matrix","Rds"
"Allen brain RSEM counts","RSEM count matrix for the Allen brain single-cell RNA-seq dataset","scRNAseq/legacy-allen/1.10.0/rsem_counts.rds","3.10","mm10","RData","http://bioconductor.org/packages/3.9/data/experiment/src/contrib/scRNAseq_1.10.0.tar.gz","data/allen.rda","Mus musculus","10090",NA,"Michael Cole","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","matrix","Rds"
"Allen brain RSEM TPMs","RSEM TPM matrix for the Allen brain single-cell RNA-seq dataset","scRNAseq/legacy-allen/1.10.0/rsem_tpm.rds","3.10","mm10","RData","http://bioconductor.org/packages/3.9/data/experiment/src/contrib/scRNAseq_1.10.0.tar.gz","data/allen.rda","Mus musculus","10090",NA,"Michael Cole","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","matrix","Rds"
"Allen brain colData","Per-cell metadata for the Allen brain single-cell RNA-seq dataset","scRNAseq/legacy-allen/1.10.0/coldata.rds","3.10","mm10","RData","http://bioconductor.org/packages/3.9/data/experiment/src/contrib/scRNAseq_1.10.0.tar.gz","data/allen.rda","Mus musculus","10090",NA,"Michael Cole","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DataFrame","Rds"
"Allen brain metadata","Experiment metadata for the Allen brain single-cell RNA-seq dataset","scRNAseq/legacy-allen/1.10.0/metadata.rds","3.10","mm10","RData","http://bioconductor.org/packages/3.9/data/experiment/src/contrib/scRNAseq_1.10.0.tar.gz","data/allen.rda","Mus musculus","10090",NA,"Michael Cole","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","list","Rds"
"T helper 2 Tophat counts","Tophat count matrix for the T helper 2 single-cell RNA-seq dataset","scRNAseq/legacy-th2/1.10.0/tophat_counts.rds","3.10","mm10","RData","http://bioconductor.org/packages/3.9/data/experiment/src/contrib/scRNAseq_1.10.0.tar.gz","data/th2.rda","Mus musculus","10090",NA,"Michael Cole","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","matrix","Rds"
"T helper 2 Cufflinks FPKMs","Cufflinks FPKM matrix for the T helper 2 single-cell RNA-seq dataset","scRNAseq/legacy-th2/1.10.0/cufflinks_fpkm.rds","3.10","mm10","RData","http://bioconductor.org/packages/3.9/data/experiment/src/contrib/scRNAseq_1.10.0.tar.gz","data/th2.rda","Mus musculus","10090",NA,"Michael Cole","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","matrix","Rds"
"T helper 2 RSEM counts","RSEM count matrix for the T helper 2 single-cell RNA-seq dataset","scRNAseq/legacy-th2/1.10.0/rsem_counts.rds","3.10","mm10","RData","http://bioconductor.org/packages/3.9/data/experiment/src/contrib/scRNAseq_1.10.0.tar.gz","data/th2.rda","Mus musculus","10090",NA,"Michael Cole","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","matrix","Rds"
"T helper 2 RSEM TPMs","RSEM TPM matrix for the T helper 2 single-cell RNA-seq dataset","scRNAseq/legacy-th2/1.10.0/rsem_tpm.rds","3.10","mm10","RData","http://bioconductor.org/packages/3.9/data/experiment/src/contrib/scRNAseq_1.10.0.tar.gz","data/th2.rda","Mus musculus","10090",NA,"Michael Cole","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","matrix","Rds"
"T helper 2 colData","Per-cell metadata for the T helper 2 single-cell RNA-seq dataset","scRNAseq/legacy-th2/1.10.0/coldata.rds","3.10","mm10","RData","http://bioconductor.org/packages/3.9/data/experiment/src/contrib/scRNAseq_1.10.0.tar.gz","data/th2.rda","Mus musculus","10090",NA,"Michael Cole","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","DataFrame","Rds"
"T helper 2 metadata","Experiment metadata for the T helper 2 single-cell RNA-seq dataset","scRNAseq/legacy-th2/1.10.0/metadata.rds","3.10","mm10","RData","http://bioconductor.org/packages/3.9/data/experiment/src/contrib/scRNAseq_1.10.0.tar.gz","data/th2.rda","Mus musculus","10090",NA,"Michael Cole","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","list","Rds"
